company,ticker,fiscal_year,cost_of_revenue,gross_profit,marketing_expenses,net_income,operating_income,research_development,revenue,total_assets,total_liabilities
Alphabet Inc.,GOOGL,2024.0,,,9200000000.0,,82699000000.0,39500000000.0,8876000000.0,6969000000.0,4140000000.0
Amazon.com Inc.,AMZN,2024.0,,,20600000000.0,-2722000000.0,-2847000000.0,,14200000000.0,604000000.0,64709000000.0
Apple Inc.,AAPL,2024.0,,,,,67656000000.0,31370000000.0,7700000000.0,364980000000.0,6805000000.0
Meta Platforms Inc.,META,2024.0,,,2060000000.0,23200000000.0,87109000000.0,43873000000.0,30161000000.0,172000000.0,23967000000.0
Microsoft Corporation,MSFT,2025.0,,193893000000.0,2100000000.0,88308000000.0,69773000000.0,32488000000.0,247442000000.0,5978000000.0,19670000000.0
NVIDIA Corporation,NVDA,2025.0,,,,,82875000000.0,12914000000.0,729000000.0,593000000.0,11737000000.0
Tesla Inc.,TSLA,2024.0,7000000.0,,,270000000.0,7076000000.0,4540000000.0,2230000000.0,122070000000.0,10723000000.0
