company,ticker,fiscal_year,cost_of_revenue,gross_profit,marketing_expenses,net_income,operating_income,research_development,revenue,total_assets,total_liabilities
Alphabet Inc.,GOOGL,2024.0,,,8700000000.0,100118000000.0,112390000000.0,49326000000.0,8876000000.0,2931000000.0,4140000000.0
Amazon.com Inc.,AMZN,2024.0,,,21400000000.0,59248000000.0,68593000000.0,,14200000000.0,,64709000000.0
Apple Inc.,AAPL,2024.0,,180683000000.0,,93736000000.0,123216000000.0,31370000000.0,7700000000.0,364980000000.0,6805000000.0
Meta Platforms Inc.,META,2024.0,,,2060000000.0,62360000000.0,69380000000.0,43873000000.0,30161000000.0,,
Microsoft Corporation,MSFT,2025.0,,193893000000.0,2100000000.0,71383000000.0,11959000000.0,32488000000.0,219790000000.0,,12447000000.0
NVIDIA Corporation,NVDA,2025.0,,97858000000.0,,72880000000.0,81453000000.0,12914000000.0,729000000.0,593000000.0,11737000000.0
Tesla Inc.,TSLA,2024.0,7000000.0,17450000000.0,,270000000.0,7076000000.0,4540000000.0,2230000000.0,3228000000.0,
